alpha	lambda	AUC
0	0.1	0.6231108285986335
0	1	0.6474615155224911
0	3	0.6482347547896329
0	5	0.6476696208403525
0	10	0.6469714365933878
0	0.1	0.5764303720096403
0	1	0.5911599639709396
0	3	0.5930352591267225
0	5	0.5929112056307179
0	10	0.5928172309940603
0	0.1	0.6252899676680165
0	1	0.647859841548866
0	3	0.650930369393784
0	5	0.6509255291877243
0	10	0.650437338034899
0	0.1	0.619424583119705
0	1	0.6264596373376862
0	3	0.6269881728418314
0	5	0.6268167871704458
0	10	0.6264275146226366
0	0.1	0.6045533939863208
0	1	0.6268304375804375
0	3	0.6298210318332269
0	5	0.6300412084558427
0	10	0.6300679320435418
0	0.1	0.6208264588630442
0	1	0.6375867487696756
0	3	0.6383371847457213
0	5	0.6378090669066279
0	10	0.6369735746199161
0	0.1	0.5904227877703487
0	1	0.6045825407288822
0	3	0.606937996358728
0	5	0.6071754637913175
0	10	0.60705424413961
0	0.1	0.6196552815882084
0	1	0.6356787144287145
0	3	0.6381361047458608
0	5	0.6382281532403483
0	10	0.6380222644247034
0	0.1	0.6182934859947055
0	1	0.6328249442822613
0	3	0.6321628091506141
0	5	0.6312761803615462
0	10	0.6301587057440716
0	0.1	0.6077246593283179
0	1	0.6245243684451002
0	3	0.6269549680342363
0	5	0.6272823014652283
0	10	0.627036158981281
